UncalAccel,elapsedRealtimeNanos,utcTimeMillis,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2
UAcc,165469120272833,1684642343338,1.2248261,0.43878385,10.949856,0.0,0.0,0.0
UAcc,165469122312365,1684642343340,1.3995022,0.2952145,10.7177515,0.0,0.0,0.0
UAcc,165469123965021,1684642343342,1.4641083,0.25692934,9.277272,0.0,0.0,0.0
UAcc,165469126263146,1684642343344,1.5406786,0.2952145,9.16481,0.0,0.0,0.0
UAcc,165469128800333,1684642343347,1.2439687,0.45553362,10.100404,0.0,0.0,0.0
UAcc,165469131330854,1684642343350,1.0621141,0.45792642,10.47847,0.0,0.0,0.0
UAcc,165469133758302,1684642343352,0.8563314,0.4124628,10.44497,0.0,0.0,0.0
UAcc,165469136629500,1684642343355,0.95443714,0.41006997,10.825429,0.0,0.0,0.0
UAcc,165469138888458,1684642343357,1.198505,0.53210396,11.3351,0.0,0.0,0.0
UAcc,165469141292677,1684642343359,1.0357931,0.6948159,11.122139,0.0,0.0,0.0
UAcc,165469143587260,1684642343362,0.8132606,0.80967134,10.720144,0.0,0.0,0.0
UAcc,165469146154760,1684642343364,0.40887356,0.83359957,10.028619,0.0,0.0,0.0
UAcc,165469155263354,1684642343373,-2.9910283E-4,0.64217377,8.772387,0.0,0.0,0.0
UAcc,165469155376531,1684642343374,-0.112761766,0.34785658,7.9779696,0.0,0.0,0.0
UAcc,165469155499969,1684642343374,-0.26829523,0.20668006,7.8846498,0.0,0.0,0.0
UAcc,165469155976271,1684642343374,-0.24436702,0.1683949,8.190931,0.0,0.0,0.0
UAcc,165469158967000,1684642343377,-0.12233306,0.15164514,8.482856,0.0,0.0,0.0
UAcc,165469160894344,1684642343379,0.1576272,0.0056829536,8.748459,0.0,0.0,0.0
UAcc,165469163388354,1684642343382,0.24855445,-0.06610172,9.0595255,0.0,0.0,0.0
UAcc,165469165861010,1684642343384,0.2844468,-0.17856438,9.743873,0.0,0.0,0.0
UAcc,165469168784292,1684642343387,0.38494533,-0.044566322,10.550254,0.0,0.0,0.0
UAcc,165469170871844,1684642343389,0.5667999,-0.023030918,11.067103,0.0,0.0,0.0
UAcc,165469173158875,1684642343391,0.834796,0.053539407,11.148459,0.0,0.0,0.0
UAcc,165469175649760,1684642343394,1.1027921,0.15403795,11.509776,0.0,0.0,0.0
UAcc,165469183653354,1684642343402,1.2487543,0.23060828,12.0481615,0.0,0.0,0.0
UAcc,165469183672156,1684642343402,1.1123635,0.2952145,12.146267,0.0,0.0,0.0
UAcc,165469184004708,1684642343402,0.7797611,0.27846473,11.727523,0.0,0.0,0.0
UAcc,165469185679135,1684642343404,0.38255253,0.30717862,11.158031,0.0,0.0,0.0
UAcc,165469188638146,1684642343407,0.11694921,0.43639103,10.480863,0.0,0.0,0.0
UAcc,165469190648354,1684642343409,0.033200413,0.48424748,9.94487,0.0,0.0,0.0
UAcc,165469193020073,1684642343411,0.11694921,0.32392836,9.349057,0.0,0.0,0.0
UAcc,165469195917937,1684642343414,0.14566308,0.39571303,8.525927,0.0,0.0,0.0
UAcc,165469198653042,1684642343417,0.08584251,0.3167499,7.57119,0.0,0.0,0.0
UAcc,165469201087417,1684642343419,0.07148558,0.34307095,6.9873414,0.0,0.0,0.0
UAcc,165469203202677,1684642343421,0.2868396,0.32632118,7.0471616,0.0,0.0,0.0
UAcc,165469205854344,1684642343424,0.3394817,0.4651049,7.300801,0.0,0.0,0.0
UAcc,165469208965177,1684642343427,0.4758726,0.625424,7.7697945,0.0,0.0,0.0
UAcc,165469210932677,1684642343429,0.49501517,0.73070824,8.490034,0.0,0.0,0.0
UAcc,165469213538458,1684642343432,0.43280178,0.7115656,9.392128,0.0,0.0,0.0
UAcc,165469215954187,1684642343434,0.4351946,0.7187441,10.454541,0.0,0.0,0.0
UAcc,165469218791167,1684642343437,0.59551376,0.56560344,11.296815,0.0,0.0,0.0
UAcc,165469220839917,1684642343439,0.79890364,0.41724846,11.540883,0.0,0.0,0.0
UAcc,165469223413927,1684642343442,0.96879405,0.2952145,11.650952,0.0,0.0,0.0
UAcc,165469225813562,1684642343444,1.1913266,0.27367908,11.78495,0.0,0.0,0.0
UAcc,165469229685437,1684642343448,1.2822539,0.45792642,11.653345,0.0,0.0,0.0
UAcc,165469230090750,1684642343448,1.3109677,0.36699918,11.067103,0.0,0.0,0.0
UAcc,165469232519656,1684642343451,1.2607185,0.49381876,10.366007,0.0,0.0,0.0
UAcc,165469235069708,1684642343453,1.0812567,0.5775676,9.841979,0.0,0.0,0.0
UAcc,165469239364083,1684642343458,0.93529457,0.75702924,9.38495,0.0,0.0,0.0
UAcc,165469239955281,1684642343458,0.8419745,1.0250254,9.2126665,0.0,0.0,0.0
UAcc,165469243175542,1684642343461,0.9065807,1.0944172,9.097811,0.0,0.0,0.0
UAcc,165469246278354,1684642343464,0.7821539,1.1087742,8.449356,0.0,0.0,0.0
UAcc,165469249418406,1684642343468,0.53330034,0.9987044,8.157432,0.0,0.0,0.0
UAcc,165469250926792,1684642343469,0.30837503,0.80967134,8.310572,0.0,0.0,0.0
UAcc,165469252579812,1684642343471,0.095413804,0.82881397,8.736495,0.0,0.0,0.0
